Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed?	Ct_replicate1	TIRRko_replicate1	Ct_replicate2	TIRR_replicate2	Average_ct	Average_TIRR	TIRRdel/ct	log2(TIRR/ct)
sp|Q96L73-2|NSD1_HUMAN	NSD1	" Isoform 2 of Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific OS=Homo sapiens GN=NSD1"	361	4	C	407.07	412.472	473.496	436.263	440.283	424.3675	0.963851659	-0.053116968
sp|Q9P2Y5|UVRAG_HUMAN	UVRAG	 UV radiation resistance-associated gene protein OS=Homo sapiens GN=UVRAG PE=1 SV=1	6569	6	C	859.665	845.576	912.444	862.444	886.0545	854.01	0.963834617	-0.053142477
sp|Q7L5D6|GET4_HUMAN	GET4	 Golgi to ER traffic protein 4 homolog OS=Homo sapiens GN=GET4 PE=1 SV=1	1217	9	C	2009.78	1869.9	2043.51	2036.53	2026.645	1953.215	0.963767705	-0.053242637
tr|E9PF32|E9PF32_HUMAN	DENND3	 Uncharacterized protein OS=Homo sapiens GN=DENND3 PE=4 SV=1	6414	1	C	421.76	435.613	439.836	394.732	430.798	415.1725	0.96372894	-0.053300666
sp|Q9H6E5|STPAP_HUMAN	TUT1	 Speckle targeted PIP5K1A-regulated poly(A) polymerase OS=Homo sapiens GN=TUT1 PE=1 SV=2	1494	2	C	237.674	232.082	233.436	221.788	235.555	226.935	0.963405574	-0.053784824
sp|Q9HAH7-1|FBRS_HUMAN	FBRS	 Isoform 1 of Probable fibrosin-1 OS=Homo sapiens GN=FBRS	6626	1	C	118.033	122.426	127.188	113.806	122.6105	118.116	0.96334327	-0.053878127
sp|Q9Y312|CT004_HUMAN	C20orf4	 Uncharacterized protein C20orf4 OS=Homo sapiens GN=C20orf4 PE=1 SV=2	2521	6	C	1889.98	1887.13	1988.75	1849.38	1939.365	1868.255	0.963333359	-0.053892969
sp|Q92738-2|US6NL_HUMAN	USP6NL	 Isoform 2 of USP6 N-terminal-like protein OS=Homo sapiens GN=USP6NL	2942	5	C	675.585	650.772	726.455	699.815	701.02	675.2935	0.963301332	-0.053940934
sp|Q9NYU1|UGGG2_HUMAN	UGGT2	 UDP-glucose:glycoprotein glucosyltransferase 2 OS=Homo sapiens GN=UGGT2 PE=1 SV=4	818	16	C	4619.95	3968.43	3832.56	4173.63	4226.255	4071.03	0.963271265	-0.053985965
sp|Q2TAL8|QRIC1_HUMAN	QRICH1	 Glutamine-rich protein 1 OS=Homo sapiens GN=QRICH1 PE=1 SV=1	5061	20	C	6073.6	5882.11	6244.92	5983.91	6159.26	5933.01	0.963266691	-0.053992815
sp|P62495|ERF1_HUMAN	ETF1	 Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens GN=ETF1 PE=1 SV=3	5549	35	C	11745.6	10863	11310	11345.1	11527.8	11104.05	0.963241035	-0.054031242
sp|Q53GT1|KLH22_HUMAN	KLHL22	 Kelch-like protein 22 OS=Homo sapiens GN=KLHL22 PE=1 SV=2	6815	3	C	852.039	677.64	845.642	957.237	848.8405	817.4385	0.963006006	-0.054383298
sp|Q7L8L6|FAKD5_HUMAN	FASTKD5	 FAST kinase domain-containing protein 5 OS=Homo sapiens GN=FASTKD5 PE=1 SV=1	1420	9	C	2315.5	2400.22	2457.88	2195.75	2386.69	2297.985	0.962833464	-0.05464181
sp|Q13257|MD2L1_HUMAN	MAD2L1	 Mitotic spindle assembly checkpoint protein MAD2A OS=Homo sapiens GN=MAD2L1 PE=1 SV=1	4372	15	C	3846.21	3844.45	4038.08	3745.72	3942.145	3795.085	0.962695436	-0.054848644
sp|P61966|AP1S1_HUMAN	AP1S1	 AP-1 complex subunit sigma-1A OS=Homo sapiens GN=AP1S1 PE=1 SV=1	1816	2	C	532.026	517.026	529.284	504.645	530.655	510.8355	0.962650875	-0.054915425
sp|P50570|DYN2_HUMAN	DNM2	 Dynamin-2 OS=Homo sapiens GN=DNM2 PE=1 SV=2	1311	1	C	71.2118	76.8923	86.2531	74.6899	78.73245	75.7911	0.962641198	-0.054929927
sp|P26022|PTX3_HUMAN	PTX3	 Pentraxin-related protein PTX3 OS=Homo sapiens GN=PTX3 PE=1 SV=3	787	11	C	2948.54	2539.49	2859.42	3051.47	2903.98	2795.48	0.962637484	-0.054935494
sp|P62195|PRS8_HUMAN	PSMC5	 26S protease regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=1 SV=1	1778	57	C	16259.2	15690.2	16492.1	15831.7	16375.65	15760.95	0.962462559	-0.055197676
sp|Q9NZI7|UBIP1_HUMAN	UBP1	 Upstream-binding protein 1 OS=Homo sapiens GN=UBP1 PE=2 SV=1	3919	10	C	2645.66	2512.83	2627.59	2562.33	2636.625	2537.58	0.962434931	-0.05523909
sp|P10321|1C07_HUMAN	HLA-C	" HLA class I histocompatibility antigen, Cw-7 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=3"	4087	7	C	2094.75	1928.36	2086.13	2095.42	2090.44	2011.89	0.962424179	-0.055255208
sp|P20618|PSB1_HUMAN	PSMB1	 Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2	244	22	C	5643.35	5422.91	5914.15	5696.89	5778.75	5559.9	0.962128488	-0.055698522
sp|Q9BWH2|FUND2_HUMAN	FUNDC2	 FUN14 domain-containing protein 2 OS=Homo sapiens GN=FUNDC2 PE=1 SV=2	1014	4	C	1559.42	1490.45	1509.49	1462.19	1534.455	1476.32	0.962113584	-0.055720871
sp|P13639|EF2_HUMAN	EEF2	 Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	1314	153	C	51999.9	50009.8	52511.1	50529.8	52255.5	50269.8	0.962000172	-0.055890943
tr|F5H2A4|F5H2A4_HUMAN	HMGA2	 Uncharacterized protein OS=Homo sapiens GN=HMGA2 PE=4 SV=1	5984	5	C	3292.92	3267.95	3455.06	3220.2	3373.99	3244.075	0.961495144	-0.056648524
sp|Q10567-3|AP1B1_HUMAN	AP1B1	 Isoform C of AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1	370	40	C	10095.8	9366.6	10163.5	10112.1	10129.65	9739.35	0.961469547	-0.056686931
sp|Q9BXB5|OSB10_HUMAN	OSBPL10	 Oxysterol-binding protein-related protein 10 OS=Homo sapiens GN=OSBPL10 PE=1 SV=2	3093	3	C	949.123	894.367	958.056	939.323	953.5895	916.845	0.961467172	-0.056690495
sp|Q15428|SF3A2_HUMAN	SF3A2	 Splicing factor 3A subunit 2 OS=Homo sapiens GN=SF3A2 PE=1 SV=2	4565	13	C	4043.14	3689.93	3990.69	4033.66	4016.915	3861.795	0.9613833	-0.056816351
sp|A7E2V4-2|K0913_HUMAN	KIAA0913	 Isoform 2 of Zinc finger SWIM domain-containing protein KIAA0913 OS=Homo sapiens GN=KIAA0913	4112	4	C	907.688	872.016	928.058	892.746	917.873	882.381	0.961332341	-0.056892825
sp|Q92769|HDAC2_HUMAN	HDAC2	 Histone deacetylase 2 OS=Homo sapiens GN=HDAC2 PE=1 SV=2	4097	17	C	4950.6	4684.55	5305.33	5174.29	5127.965	4929.42	0.961281912	-0.056968507
sp|P40937|RFC5_HUMAN	RFC5	 Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1	2232	14	C	4485.17	4071.28	4398.29	4468.11	4441.73	4269.695	0.96126847	-0.056988682
sp|Q96AG4|LRC59_HUMAN	LRRC59	 Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1	3060	23	C	10859.3	10502.2	10748.3	10266.5	10803.8	10384.35	0.961175697	-0.057127923
sp|P07225|PROS_HUMAN	PROS1	 Vitamin K-dependent protein S OS=Homo sapiens GN=PROS1 PE=1 SV=1	3432	8	C	1385.37	1399.95	1526.85	1399.19	1456.11	1399.57	0.961170516	-0.057135701
sp|Q96JJ3|ELMO2_HUMAN	ELMO2	 Engulfment and cell motility protein 2 OS=Homo sapiens GN=ELMO2 PE=1 SV=2	4400	16	C	3204.84	3181.41	3369.96	3137.9	3287.4	3159.655	0.961141023	-0.057179969
sp|P35226|BMI1_HUMAN	BMI1	 Polycomb complex protein BMI-1 OS=Homo sapiens GN=BMI1 PE=1 SV=2	3585	9	C	2353.55	2421.3	2584.59	2322.92	2469.07	2372.11	0.960730153	-0.057796826
sp|Q9BVQ7|SPA5L_HUMAN	SPATA5L1	 Spermatogenesis-associated protein 5-like protein 1 OS=Homo sapiens GN=SPATA5L1 PE=1 SV=2	2334	11	C	1248.62	1145.01	1358.74	1359.73	1303.68	1252.37	0.960642182	-0.057928936
sp|Q15653-2|IKBB_HUMAN	NFKBIB	 Isoform 2 of NF-kappa-B inhibitor beta OS=Homo sapiens GN=NFKBIB	3759	3	C	1353.18	1390.39	1482.81	1333.69	1417.995	1362.04	0.960539353	-0.058083373
sp|Q8NAN2-2|FA73A_HUMAN	FAM73A	 Isoform 2 of Protein FAM73A OS=Homo sapiens GN=FAM73A	6609	1	C	149.152	150.241	143.831	131.168	146.4915	140.7045	0.960496001	-0.058148487
sp|Q9BZL6|KPCD2_HUMAN	PRKD2	 Serine/threonine-protein kinase D2 OS=Homo sapiens GN=PRKD2 PE=1 SV=2	3609	7	C	1302.41	1220.1	1294.64	1274.12	1298.525	1247.11	0.960405075	-0.058285068
sp|Q13901|C1D_HUMAN	C1D	 Nuclear nucleic acid-binding protein C1D OS=Homo sapiens GN=C1D PE=1 SV=1	6564	3	C	1265.53	1264.34	1269.1	1169.63	1267.315	1216.985	0.960286117	-0.058463775
sp|Q13613-2|MTMR1_HUMAN	MTMR1	 Isoform 1A of Myotubularin-related protein 1 OS=Homo sapiens GN=MTMR1	4457	9	C	2187.36	2041.35	2308.5	2275.35	2247.93	2158.35	0.960150005	-0.058668279
sp|Q5T7M9-2|FA69A_HUMAN	FAM69A	 Isoform 2 of Protein FAM69A OS=Homo sapiens GN=FAM69A	5372	1	C	148.489	160.177	163.276	139.152	155.8825	149.6645	0.960110981	-0.058726916
sp|Q13625-2|ASPP2_HUMAN	TP53BP2	 Isoform 2 of Apoptosis-stimulating of p53 protein 2 OS=Homo sapiens GN=TP53BP2	3430	24	C	6962.02	6575.25	7270.21	7087.71	7116.115	6831.48	0.960001349	-0.058891662
sp|Q9BZE9-2|ASPC1_HUMAN	ASPSCR1	 Isoform 2 of Tether containing UBX domain for GLUT4 OS=Homo sapiens GN=ASPSCR1	248	16	C	3971.34	3807.83	4221.23	4055.73	4096.285	3931.78	0.959840441	-0.059133496
sp|Q9H2U1-2|DHX36_HUMAN	DHX36	 Isoform 2 of Probable ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36	3346	21	C	4855.32	4756.57	5205.74	4900.28	5030.53	4828.425	0.959824313	-0.059157737
sp|P42568|AF9_HUMAN	MLLT3	 Protein AF-9 OS=Homo sapiens GN=MLLT3 PE=1 SV=2	6777	3	C	344.474	367.371	393.527	340.972	369.0005	354.1715	0.959813063	-0.059174647
sp|Q8N6R0-4|MTL13_HUMAN	METTL13	 Isoform 2 of Methyltransferase-like protein 13 OS=Homo sapiens GN=METTL13	3180	9	C	1006.15	953.561	1068.8	1037.84	1037.475	995.7005	0.959734451	-0.059292813
sp|P08237-2|K6PF_HUMAN	PFKM	" Isoform 2 of 6-phosphofructokinase, muscle type OS=Homo sapiens GN=PFKM"	84	32	C	8006.09	7241.73	8084.97	8201.26	8045.53	7721.495	0.959724841	-0.059307259
sp|Q9NQZ5|STAR7_HUMAN	STARD7	" StAR-related lipid transfer protein 7, mitochondrial OS=Homo sapiens GN=STARD7 PE=1 SV=2"	6436	5	C	2083.68	1960.23	2146.93	2099.68	2115.305	2029.955	0.959651209	-0.05941795
sp|O75746|CMC1_HUMAN	SLC25A12	 Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens GN=SLC25A12 PE=1 SV=2	1637	31	C	8824.49	8099.59	8787.05	8801.16	8805.77	8450.375	0.959640667	-0.059433798
sp|Q9H981-2|ARP8_HUMAN	ACTR8	 Isoform 2 of Actin-related protein 8 OS=Homo sapiens GN=ACTR8	3511	2	C	458.234	478.884	492.436	433.268	475.335	456.076	0.959483312	-0.059670381
sp|Q8N8Q8|COX18_HUMAN	COX18	 Mitochondrial inner membrane protein COX18 OS=Homo sapiens GN=COX18 PE=2 SV=1	4185	3	C	1127.64	977.985	1099.95	1159.34	1113.795	1068.6625	0.959478629	-0.059677421
sp|P52732|KIF11_HUMAN	KIF11	 Kinesin-like protein KIF11 OS=Homo sapiens GN=KIF11 PE=1 SV=2	3151	22	C	5627.67	5114.54	5854.66	5901.86	5741.165	5508.2	0.959421999	-0.059762575
sp|Q9UPU9-2|SMAG1_HUMAN	SAMD4A	 Isoform 2 of Protein Smaug homolog 1 OS=Homo sapiens GN=SAMD4A	6428	1	C	161.342	172.572	186.27	160.914	173.806	166.743	0.959362738	-0.059851689
sp|Q9UNS2|CSN3_HUMAN	COPS3	 COP9 signalosome complex subunit 3 OS=Homo sapiens GN=COPS3 PE=1 SV=3	2418	22	C	5276.26	4842.66	5393.56	5393.5	5334.91	5118.08	0.95935639	-0.059861235
sp|P31483-2|TIA1_HUMAN	TIA1	 Isoform Short of Nucleolysin TIA-1 isoform p40 OS=Homo sapiens GN=TIA1	193	13	C	3052.63	2892.22	3083.51	2993.52	3068.07	2942.87	0.959192587	-0.060107586
sp|O14920|IKKB_HUMAN	IKBKB	 Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Homo sapiens GN=IKBKB PE=1 SV=1	371	28	C	6903.2	6370.67	7102.76	7063.28	7002.98	6716.975	0.959159529	-0.060157308
sp|Q06136|KDSR_HUMAN	KDSR	 3-ketodihydrosphingosine reductase OS=Homo sapiens GN=KDSR PE=1 SV=1	3496	10	C	1993.07	1822.67	2070.7	2074.96	2031.885	1948.815	0.959116781	-0.060221608
sp|P98172|EFNB1_HUMAN	EFNB1	 Ephrin-B1 OS=Homo sapiens GN=EFNB1 PE=1 SV=1	936	2	C	505.226	510.912	498.377	451.646	501.8015	481.279	0.959102354	-0.060243309
sp|P62241|RS8_HUMAN	RPS8	 40S ribosomal protein S8 OS=Homo sapiens GN=RPS8 PE=1 SV=2	764	29	C	9272.32	9711.46	10138.2	8901.15	9705.26	9306.305	0.95889291	-0.060558393
sp|P18859|ATP5J_HUMAN	ATP5J	" ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens GN=ATP5J PE=1 SV=1"	5225	8	C	2494	2506.95	2680.24	2454.56	2587.12	2480.755	0.958886716	-0.060567712
sp|Q8N122|RPTOR_HUMAN	RPTOR	 Regulatory-associated protein of mTOR OS=Homo sapiens GN=RPTOR PE=1 SV=1	2019	6	C	1065.59	1067.6	1106.49	1015.09	1086.04	1041.345	0.958845899	-0.060629124
sp|P23368|MAOM_HUMAN	ME2	" NAD-dependent malic enzyme, mitochondrial OS=Homo sapiens GN=ME2 PE=1 SV=1"	2355	29	C	7172.06	6768.43	7510.93	7309.48	7341.495	7038.955	0.95879041	-0.060712616
sp|P31939|PUR9_HUMAN	ATIC	 Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3	1402	56	C	16610.1	15540.8	16719.7	16413.2	16664.9	15977	0.958721624	-0.060816121
sp|Q9NXC5|MIO_HUMAN	MIOS	 WD repeat-containing protein mio OS=Homo sapiens GN=MIOS PE=1 SV=2	5807	12	C	1779.67	1709.88	1902.92	1820.59	1841.295	1765.235	0.958692116	-0.060860527
sp|O76095-2|JTB_HUMAN	JTB	 Isoform 2 of Protein JTB OS=Homo sapiens GN=JTB	7224	1	C	344.574	359.437	390.463	345.215	367.5185	352.326	0.958661945	-0.060905931
sp|Q13137|CACO2_HUMAN	CALCOCO2	 Calcium-binding and coiled-coil domain-containing protein 2 OS=Homo sapiens GN=CALCOCO2 PE=1 SV=1	4559	26	C	6478.64	5966.13	6661.8	6630.78	6570.22	6298.455	0.958636849	-0.060943698
sp|Q03252|LMNB2_HUMAN	LMNB2	 Lamin-B2 OS=Homo sapiens GN=LMNB2 PE=1 SV=3	579	78	C	23641.1	21662.5	23703.3	23722.8	23672.2	22692.65	0.958620238	-0.060968697
sp|Q8WUK0|PTPM1_HUMAN	PTPMT1	 Protein-tyrosine phosphatase mitochondrial 1 OS=Homo sapiens GN=PTPMT1 PE=1 SV=1	4130	6	C	1955.92	2084.68	2176.09	1876.25	2066.005	1980.465	0.958596422	-0.06100454
sp|O14744|ANM5_HUMAN	PRMT5	 Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4	281	33	C	9383.62	8555.38	9260.34	9316.51	9321.98	8935.945	0.958588733	-0.061016111
sp|Q13042-2|CDC16_HUMAN	CDC16	 Isoform 2 of Cell division cycle protein 16 homolog OS=Homo sapiens GN=CDC16	2497	11	C	4416.51	4158.71	4433.6	4324.5	4425.055	4241.605	0.958542888	-0.061085111
sp|Q7L7V1|DHX32_HUMAN	DHX32	 Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32 OS=Homo sapiens GN=DHX32 PE=1 SV=1	1100	9	C	1676.74	1588.68	1710.88	1658.43	1693.81	1623.555	0.958522503	-0.061115794
sp|O94887-2|FARP2_HUMAN	FARP2	" Isoform 2 of FERM, RhoGEF and pleckstrin domain-containing protein 2 OS=Homo sapiens GN=FARP2"	2333	2	C	732.08	758.006	786.781	697.495	759.4305	727.7505	0.95828453	-0.061474016
sp|Q5BJH7-2|YIF1B_HUMAN	YIF1B	 Isoform 2 of Protein YIF1B OS=Homo sapiens GN=YIF1B	6386	5	C	880.314	779.571	815.312	845.241	847.813	812.406	0.958237253	-0.061545194
sp|Q07912|ACK1_HUMAN	TNK2	 Activated CDC42 kinase 1 OS=Homo sapiens GN=TNK2 PE=1 SV=3	1611	4	C	664.018	504.518	622.48	728.192	643.249	616.355	0.958190374	-0.061615774
sp|Q9NYL2-2|MLTK_HUMAN	MLTK	 Isoform 2 of Mitogen-activated protein kinase kinase kinase MLT OS=Homo sapiens GN=MLTK	3259	9	C	2668.15	2439.15	2694.77	2699.44	2681.46	2569.295	0.958170176	-0.061646186
sp|Q01850|CDR2_HUMAN	CDR2	 Cerebellar degeneration-related protein 2 OS=Homo sapiens GN=CDR2 PE=1 SV=2	2058	19	C	4865.84	4481.45	5031.04	5000.01	4948.44	4740.73	0.958025155	-0.061864557
sp|Q96ND0|CR019_HUMAN	C18orf19	 Uncharacterized protein C18orf19 OS=Homo sapiens GN=C18orf19 PE=2 SV=2	6489	6	C	2249.46	2270.52	2404.58	2187.86	2327.02	2229.19	0.957959106	-0.061964024
sp|Q9UBI6|GBG12_HUMAN	GNG12	 Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3	2861	10	C	2462.98	2351.31	2556.6	2457.17	2509.79	2404.24	0.957944689	-0.061985737
sp|Q9BZQ8|NIBAN_HUMAN	FAM129A	 Protein Niban OS=Homo sapiens GN=FAM129A PE=1 SV=1	2866	37	C	13145.7	12228.5	12317.8	12157.7	12731.75	12193.1	0.957692383	-0.062365767
sp|Q2TAA2|IAH1_HUMAN	IAH1	 Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Homo sapiens GN=IAH1 PE=1 SV=1	4670	13	C	4059.25	3822.78	4150.54	4038.11	4104.895	3930.445	0.957501958	-0.062652658
sp|Q16563-2|SYPL1_HUMAN	SYPL1	 Isoform 2 of Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1	5430	11	C	5194.96	5088.39	5412.47	5067.7	5303.715	5078.045	0.957450579	-0.062730073
sp|P53701|CCHL_HUMAN	HCCS	 Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1	3327	29	C	9483.3	8653.22	9702.41	9713.12	9592.855	9183.17	0.957292693	-0.062967997
sp|Q14181|DPOA2_HUMAN	POLA2	 DNA polymerase alpha subunit B OS=Homo sapiens GN=POLA2 PE=1 SV=2	1912	6	C	1760.16	1525.41	1722.44	1808.45	1741.3	1666.93	0.95729053	-0.062971257
sp|P42704|LPPRC_HUMAN	LRPPRC	" Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3"	700	115	C	36178.6	34448.4	36951.7	35557.9	36565.15	35003.15	0.957281729	-0.062984522
sp|P36897-2|TGFR1_HUMAN	TGFBR1	 Isoform 2 of TGF-beta receptor type-1 OS=Homo sapiens GN=TGFBR1	4544	3	C	625.274	571.076	655.752	655.163	640.513	613.1195	0.957231938	-0.063059562
sp|Q8N684-2|CPSF7_HUMAN	CPSF7	 Isoform 2 of Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens GN=CPSF7	3084	9	C	2551.07	2493.02	2615.49	2452.22	2583.28	2472.62	0.957162987	-0.063163486
sp|Q6UWU4-2|CF089_HUMAN	C6orf89	 Isoform 2 of Uncharacterized protein C6orf89 OS=Homo sapiens GN=C6orf89	5245	3	C	1318.17	1264.96	1330.88	1270.37	1324.525	1267.665	0.957071403	-0.063301533
sp|Q13825-2|AUHM_HUMAN	AUH	" Isoform 2 of Methylglutaconyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=AUH"	3191	2	C	659.615	684.043	714.035	630.629	686.825	657.336	0.957064754	-0.063311555
sp|Q9H1K0|RBNS5_HUMAN	ZFYVE20	 Rabenosyn-5 OS=Homo sapiens GN=ZFYVE20 PE=1 SV=2	380	7	C	1665.31	1612.35	1687.82	1596.47	1676.565	1604.41	0.956962599	-0.063465554
sp|Q92747|ARC1A_HUMAN	ARPC1A	 Actin-related protein 2/3 complex subunit 1A OS=Homo sapiens GN=ARPC1A PE=1 SV=2	2959	17	C	5082.17	4952.55	5012.73	4707.78	5047.45	4830.165	0.95695153	-0.063482241
sp|Q9NUP9|LIN7C_HUMAN	LIN7C	 Protein lin-7 homolog C OS=Homo sapiens GN=LIN7C PE=1 SV=1	1806	18	C	6364.42	6315.95	6427.09	5924.16	6395.755	6120.055	0.956893283	-0.063570057
sp|Q96CB9|NSUN4_HUMAN	NSUN4	 Putative methyltransferase NSUN4 OS=Homo sapiens GN=NSUN4 PE=1 SV=2	6391	7	C	2087.16	2131.33	2197.58	1968.59	2142.37	2049.96	0.956865527	-0.063611904
sp|Q6ZU35|K1211_HUMAN	KIAA1211	 Uncharacterized protein KIAA1211 OS=Homo sapiens GN=KIAA1211 PE=1 SV=3	2541	9	C	2138.13	2002.67	2231.53	2178.36	2184.83	2090.515	0.956831882	-0.063662634
sp|Q6PGQ7|BORA_HUMAN	BORA	 Protein aurora borealis OS=Homo sapiens GN=BORA PE=1 SV=2	7324	1	C	130.628	141.661	155.525	132.124	143.0765	136.8925	0.956778367	-0.063743325
sp|Q9BW27|NUP85_HUMAN	NUP85	 Nuclear pore complex protein Nup85 OS=Homo sapiens GN=NUP85 PE=1 SV=1	3729	17	C	3054.33	2903.61	3194.03	3074.65	3124.18	2989.13	0.956772657	-0.063751934
sp|Q96A35|RM24_HUMAN	MRPL24	" 39S ribosomal protein L24, mitochondrial OS=Homo sapiens GN=MRPL24 PE=1 SV=1"	755	16	C	6289.35	6154.83	6261.39	5853.25	6275.37	6004.04	0.956762709	-0.063766935
sp|Q96K19-2|RN170_HUMAN	RNF170	 Isoform 2 of RING finger protein 170 OS=Homo sapiens GN=RNF170	5469	1	C	53.4703	56.2255	61.07	53.3621	57.27015	54.7938	0.956760197	-0.063770723
sp|Q8IVH4|MMAA_HUMAN	MMAA	" Methylmalonic aciduria type A protein, mitochondrial OS=Homo sapiens GN=MMAA PE=1 SV=1"	4046	4	C	695.921	632.529	664.663	668.751	680.292	650.64	0.956412834	-0.064294605
sp|Q9H6V9|CB043_HUMAN	C2orf43	 UPF0554 protein C2orf43 OS=Homo sapiens GN=C2orf43 PE=1 SV=1	2399	4	C	1174.79	1232.08	1262.22	1098.7	1218.505	1165.39	0.956409699	-0.064299335
sp|Q71SY5-2|MED25_HUMAN	MED25	 Isoform 2 of Mediator of RNA polymerase II transcription subunit 25 OS=Homo sapiens GN=MED25	417	2	C	246.5	248.227	263.307	239.352	254.9035	243.7895	0.956399186	-0.064315192
sp|P05386|RLA1_HUMAN	RPLP1	 60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1	254	7	C	2108.49	2702.78	2686.59	1882.77	2397.54	2292.775	0.956303127	-0.064460101
sp|O75874|IDHC_HUMAN	IDH1	 Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2	3014	39	C	14077.9	12351	12321.6	12893	13199.75	12622	0.956230232	-0.064570077
sp|O00217|NDUS8_HUMAN	NDUFS8	" NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens GN=NDUFS8 PE=1 SV=1"	5416	19	C	6931.3	6684.13	7335.75	6956.78	7133.525	6820.455	0.956112861	-0.064747168
sp|Q6WCQ1|MPRIP_HUMAN	MPRIP	 Myosin phosphatase Rho-interacting protein OS=Homo sapiens GN=MPRIP PE=1 SV=3	1203	98	C	28389.5	26275.8	29236.6	28819.1	28813.05	27547.45	0.956075459	-0.064803607
sp|Q53H47|SETMR_HUMAN	SETMAR	 Histone-lysine N-methyltransferase SETMAR OS=Homo sapiens GN=SETMAR PE=1 SV=1	5955	1	C	148.172	140.531	142.972	137.823	145.572	139.177	0.956069849	-0.064812072
sp|O75940|SPF30_HUMAN	SMNDC1	 Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens GN=SMNDC1 PE=1 SV=1	2776	8	C	3323.52	3070.37	3279.05	3241.61	3301.285	3155.99	0.95598835	-0.064935058
sp|Q8TA86|RP9_HUMAN	RP9	 Retinitis pigmentosa 9 protein OS=Homo sapiens GN=RP9 PE=1 SV=2	4901	2	C	1204.09	1184.66	1196.42	1110.1	1200.255	1147.38	0.955946861	-0.06499767
sp|Q9UK59|DBR1_HUMAN	DBR1	 Lariat debranching enzyme OS=Homo sapiens GN=DBR1 PE=1 SV=2	3013	10	C	1883.65	1762.23	1980.81	1931.73	1932.23	1846.98	0.955879994	-0.065098589
sp|Q9NRN7|ADPPT_HUMAN	AASDHPPT	 L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens GN=AASDHPPT PE=1 SV=2	1839	13	C	5591.85	5226.4	5585.67	5456.47	5588.76	5341.435	0.955745997	-0.065300842
sp|Q9BWU1|CDK19_HUMAN	CDK19	 Cyclin-dependent kinase 19 OS=Homo sapiens GN=CDK19 PE=1 SV=1	6273	2	C	473.328	464.302	419.977	389.436	446.6525	426.869	0.955707177	-0.065359442
sp|O60281-2|ZN292_HUMAN	ZNF292	 Isoform 2 of Zinc finger protein 292 OS=Homo sapiens GN=ZNF292	1206	4	C	480.646	448.973	445.96	436.591	463.303	442.782	0.955707172	-0.065359449
sp|Q96LJ7|DHRS1_HUMAN	DHRS1	 Dehydrogenase/reductase SDR family member 1 OS=Homo sapiens GN=DHRS1 PE=1 SV=1	1429	8	C	3312.98	2914.12	3281.75	3388.03	3297.365	3151.075	0.955634272	-0.065469501
sp|P50402|EMD_HUMAN	EMD	 Emerin OS=Homo sapiens GN=EMD PE=1 SV=1	2604	27	C	9599.14	8474.37	8633.17	8946.93	9116.155	8710.65	0.955517979	-0.065645076
sp|Q9Y3I0|RTCB_HUMAN	C22orf28	 tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=C22orf28 PE=1 SV=1	4268	53	C	20940.7	20020.1	20918.3	19973.7	20929.5	19996.9	0.955440885	-0.065761481
